Unnamed: 0,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Price Level,Vicinity,Location,District
192,Bebos,ChIJeWWQb14LkEcRC_sOxKLecGw,47.3897261,8.5219734,4.8,1555,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Hardstrasse 310, Zürich",Hardstrasse 310, Zürich
193,Burgermeister Escherwyss,ChIJl_roH6ILkEcRlO0VYUmaVNc,47.3900349,8.5222682,4.3,859,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Hardstrasse 316, Zürich",Hardstrasse 316, Zürich
194,Nordbrücke,ChIJL1PWR2kKkEcRXo_Cz2BA8EY,47.3933386,8.5294512,4.4,625,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Dammstrasse 58, Zürich",Dammstrasse 58, Zürich
195,Am Damm,ChIJfUtYO2sKkEcR5NOiqUzIfXk,47.3883857,8.526479,4.7,21,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Dammweg 6, Zürich",Dammweg 6, Zürich
196,Costa Brava,ChIJHRtC32oKkEcR4smxnTizITU,47.3884769,8.5256554,4.6,297,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Limmatstrasse 267, Zürich",Limmatstrasse 267, Zürich
197,Kitchen Republic Zürich-West,ChIJ0SegmxuhmkcRxYpP8ERCUtE,47.3889408,8.5222619,4.4,474,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Heinrichstrasse 239, Zürich",Heinrichstrasse 239, Zürich
198,Wurst & Moritz,ChIJFWaUMkAKkEcRsn-E7jkauPE,47.3901512,8.5223141,4.4,1042,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Hardstrasse 318, Zürich",Hardstrasse 318, Zürich
199,Libanes Take-Away,ChIJi4hHCnEKkEcRQHlzxL7YHcE,47.3929049,8.5393326,4.6,515,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Schaffhauserstrasse 74, Zürich",Schaffhauserstrasse 74, Zürich
200,KUMO6,ChIJidJlvWUKkEcRTrtdIFn9jpU,47.3979734,8.533761799999999,4.7,49,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Bucheggpl., Zürich",Bucheggpl., Zürich
201,Tacos Plaza,ChIJi0_p1EEKkEcR7LCLv60d1kM,47.3903024,8.5229505,3.9,454,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Limmatstrasse 317, Zürich",Limmatstrasse 317, Zürich
202,Spaghetti Pomodoro,ChIJfUqc00EKkEcRGVd4dZ0E2vU,47.3903283,8.522816299999999,4.0,653,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Hardstrasse 324, Zürich",Hardstrasse 324, Zürich
203,The Butcher,ChIJD3RIGEAKkEcR5sp9CoR-nEo,47.3887106,8.5221901,4.1,936,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Heinrichstrasse 239, Zürich",Heinrichstrasse 239, Zürich
204,Tacos & Chile,ChIJo-b9gfoLkEcRta2q9Db9vEk,47.3903024,8.5229505,3.8,128,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Limmatstrasse 317, Zürich",Limmatstrasse 317, Zürich
205,Limmathof,ChIJ8ZyNTGsKkEcR3EEVNIgXwyw,47.3875324,8.5273518,4.5,245,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Limmatstrasse 217, Zürich",Limmatstrasse 217, Zürich
206,Don Weber,ChIJ_5GXzWoKkEcR4_b1SxT7cYw,47.3878575,8.5244445,4.3,721,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Heinrichstrasse 213, Zürich",Heinrichstrasse 213, Zürich
207,Don paco,ChIJcUxAAHALkEcRrIfL59C8098,47.3884769,8.5256557,4.9,61,"['liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",0,"Limmatstrasse 267, Zürich",Limmatstrasse 267, Zürich
208,Nooch Asian Kitchen Steinfels Zürich,ChIJyxjjDEAKkEcRpPZ0Vwvz-as,47.3886254,8.521213399999999,4.3,1460,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Heinrichstrasse 267, Zürich",Heinrichstrasse 267, Zürich
209,Amici,ChIJLRgPfXAKkEcRjHJG0BFcOZE,47.395835,8.5399418,4.2,466,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Schaffhauserstrasse 113, Zürich",Schaffhauserstrasse 113, Zürich
210,Markthalle,ChIJzfXvJGsKkEcRXdxK_k7BqT4,47.3876624,8.5260853,4.3,1898,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2,"Limmatstrasse 231, Zürich",Limmatstrasse 231, Zürich
211,Differente,ChIJ-RppE3MKkEcRplBfDTGWmIc,47.3881111,8.5390979,4.6,451,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Schaffhauserstrasse 1, Zürich",Schaffhauserstrasse 1, Zürich
212,Edi's,ChIJ4xFjC3MKkEcRYqRroSDM1Nw,47.3886743,8.539310799999999,4.9,212,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Schaffhauserstrasse 10, Zürich",Schaffhauserstrasse 10, Zürich
213,Angry Chicken Zürich-West,ChIJs3BWEmKhmkcRcZPrXYHJTBc,47.3889067,8.5220909,3.3,52,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Heinrichstrasse 239, Zürich",Heinrichstrasse 239, Zürich
214,Banh Mi,ChIJxZuHJmsKkEcRA_DAbMyzTfc,47.3882916,8.5259895,4.8,157,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Limmatstrasse 259, Zürich",Limmatstrasse 259, Zürich
215,Alpenrose,ChIJ5TIRVRMKkEcRxW3YNi-LVps,47.3871525,8.5285003,4.7,441,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Fabrikstrasse 12, Zürich",Fabrikstrasse 12, Zürich
216,Hua,ChIJuwq-0kEKkEcR4TemPcjir6I,47.3902458,8.522504699999999,3.9,129,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Hardstrasse 320, Zürich",Hardstrasse 320, Zürich
217,Anna,ChIJlZ_TxAgLkEcREiINkuafAdc,47.39928039999999,8.5400434,4.9,665,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Anna-Heer-Strasse 2, Zürich",Anna-Heer-Strasse 2, Zürich
218,Moudi's Lecker Cafe,ChIJk6nZanMKkEcR2T6p2MEBW2Q,47.3878822,8.539208100000002,4.5,357,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Kronenstrasse 48, Zürich",Kronenstrasse 48, Zürich
219,Indian BBQ,ChIJ6b4RPIwLkEcRB7Z0SXmTiCQ,47.39312899999999,8.520988,4.7,224,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Breitensteinstrasse 21, Zürich",Breitensteinstrasse 21, Zürich
220,Gonzalez,ChIJO8kkgHAKkEcRTNFX6ZuN0as,47.39624269999999,8.5403286,4.6,265,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Schaffhauserstrasse 121, Zürich",Schaffhauserstrasse 121, Zürich
221,Tokyo Tapas,ChIJ79FwkOQLkEcRccQUXCEv_SQ,47.3877458,8.5262795,4.8,26,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Limmatstrasse 231, Zürich",Limmatstrasse 231, Zürich
222,Bibim Shack - Escher Wyss,ChIJ0fN6AngLkEcRVPN_ts3BNPg,47.39029739999999,8.5226473,4.2,188,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Hardstrasse 322, Zürich",Hardstrasse 322, Zürich
223,4. Akt,ChIJ34KEOUAKkEcRcGOmtvMeyxo,47.3894974,8.5217265,4.0,414,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Heinrichstrasse 262, Zürich",Heinrichstrasse 262, Zürich
224,Arctika Restaurant Zürich,ChIJe6dKDagLkEcRsWAB0vt5K9Q,47.390557,8.5394157,4.7,43,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Weinbergstrasse 157, Zürich",Weinbergstrasse 157, Zürich
225,threeOfive,ChIJAwfpRDMLkEcRHyet45nVA8Y,47.389723,8.521102899999999,4.7,15,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Hardstrasse 305, Zürich",Hardstrasse 305, Zürich
226,AUSTERNBAR,ChIJv2qcieELkEcRAQR6pTadapg,47.3877458,8.5262795,5.0,10,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Markthalle im VIADUKT, Limmatstrasse 231, Zürich",Markthalle im VIADUKT, Limmatstrasse 231
227,WAID STATION,ChIJaRuy6VwKkEcRPO7Rieh7U6Q,47.3990041,8.521816099999999,4.8,20,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,Zürich,Zürich,
228,Ristorante La Casa,ChIJsZjJ6nMKkEcRKdrIRFrLNxQ,47.3902016,8.540065,4.4,318,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Riedtlistrasse 2, Zürich",Riedtlistrasse 2, Zürich
229,Ambrosi,ChIJh3JxMBUKkEcRA6x0lUy0pDs,47.3870844,8.5243603,4.3,521,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Viaduktstrasse 37, Zürich",Viaduktstrasse 37, Zürich
230,Modo,ChIJ7x-QwwQLkEcR4FyQabb5pEQ,47.3931475,8.52195,4.7,103,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Breitensteinstrasse 14, Zürich",Breitensteinstrasse 14, Zürich
231,Thali,ChIJU2Z5yHMKkEcR30xxkEhXLrU,47.3903311,8.5392156,4.3,462,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Schaffhauserstrasse 32, Zürich",Schaffhauserstrasse 32, Zürich
232,Mesob,ChIJWYb8UyAKkEcR_bLiO0wIq3M,47.3708811,8.5147811,4.6,542,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Rotachstrasse 33, Zürich",Rotachstrasse 33, Zürich
234,Chez Loco,ChIJCYp3WS4JkEcRy-bNCjEoumg,47.3689101,8.5036522,4.9,38,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Birmensdorferstrasse 393, Zürich",Birmensdorferstrasse 393, Zürich
236,Liyu Restaurant,ChIJnzVT2kgLkEcRIcuF6yylS4o,47.37049589999999,8.5167456,5.0,85,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Birmensdorferstrasse 191, Zürich",Birmensdorferstrasse 191, Zürich
237,Grottino,ChIJm2XJzCEKkEcRb-QlPiaei8c,47.3709585,8.5163891,4.4,434,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Aemtlerstrasse 11, Zürich",Aemtlerstrasse 11, Zürich
238,Richie's Chicken,ChIJKfzmKCALkEcRmqKCGR6ynGc,47.3711204,8.516230199999999,4.6,251,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Aemtlerstrasse 13, Zürich",Aemtlerstrasse 13, Zürich
239,Pizzeria Bella Napoli,ChIJHf9xGLILkEcRiEtior59bQ8,47.3700701,8.5131081,3.8,42,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Birmensdorferstrasse 249, Zürich",Birmensdorferstrasse 249, Zürich
240,Treffpunkt,ChIJFY_LFicKkEcRFycdhUPPJdw,47.3706597,8.509334899999999,3.9,46,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Gutstrasse 10, Zürich",Gutstrasse 10, Zürich
241,Schiwago,ChIJGaZNbccLkEcRGbQjew2cLb4,47.3723102,8.5103824,4.5,77,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Bertastrasse 76, Zürich",Bertastrasse 76, Zürich
242,Meskerem,ChIJfTG69icKkEcRd97fJwLeQbY,47.3695343,8.505701199999999,4.6,136,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Birmensdorferstrasse 364, Zürich",Birmensdorferstrasse 364, Zürich
243,Flash Take-Away,ChIJPU2G8CAKkEcRgDbfl5WwVeY,47.3704918,8.513680299999999,4.2,151,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,"Kalkbreitestrasse 136, Zürich",Kalkbreitestrasse 136, Zürich
244,Les Délices d'Orient,ChIJe7IgyiEKkEcRKbwbMKKSShM,47.3713778,8.5162661,4.6,195,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Aemtlerstrasse 18, Zürich",Aemtlerstrasse 18, Zürich
246,La Côte,ChIJO_apuSEKkEcRvHz6cQrBRms,47.37177990000001,8.5158776,4.3,474,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Aemtlerstrasse 26, Zürich",Aemtlerstrasse 26, Zürich
247,Yokita,ChIJG10-GnkLkEcRIXr08uLMs3E,47.3701443,8.514308399999999,4.8,99,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Friesenbergstrasse 3, Zürich",Friesenbergstrasse 3, Zürich
248,Shangrila Tibet Restaurant,ChIJrYefRScKkEcRy4BTM4Mkwcs,47.3697476,8.5101022,4.7,301,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Birmensdorferstrasse 297, Zürich",Birmensdorferstrasse 297, Zürich
249,Vrenelisgärtli,ChIJPVnzQIgJkEcRbttnKCENYSg,47.36795499999999,8.506059,4.2,90,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Wasserschöpfi 71, Zürich",Wasserschöpfi 71, Zürich
250,Kulturmarkt,ChIJGTk7pSEKkEcR4m_8glr_cos,47.3718753,8.515461199999999,4.4,148,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Aemtlerstrasse 23, Zürich",Aemtlerstrasse 23, Zürich
251,Kafi Ferdinand,ChIJRaO8SScKkEcR-Q5_d4YXoLk,47.370087,8.5105833,4.5,150,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Gutstrasse 2, Zürich",Gutstrasse 2, Zürich
252,Zapote - Californian Burritos & Salads,ChIJKQHZfPMJkEcRL8THxA8WVLQ,47.3633236,8.5174326,4.4,244,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Binzallee 4, Zürich",Binzallee 4, Zürich
253,Xi Muoi,ChIJabObpvILkEcRqWuvgXs_Rjc,47.3705975,8.5137603,4.1,237,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Kalkbreitestrasse 134, Zürich",Kalkbreitestrasse 134, Zürich
254,Jdaburg,ChIJxdYBfyEKkEcRLDylDg-mBKM,47.3733531,8.514837499999999,4.4,192,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Gertrudstrasse 44, Zürich",Gertrudstrasse 44, Zürich
255,Daizy,ChIJZQlSgYwJkEcRcexXz82dnrg,47.3631413,8.5124634,4.5,764,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Räffelstrasse 28, Zürich",Räffelstrasse 28, Zürich
256,Tillsamman,ChIJmbER_CEKkEcRR6MkryLupFc,47.3729746,8.5176664,4.8,185,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Sihlfeldstrasse 10, Zürich",Sihlfeldstrasse 10, Zürich
257,Scheidegg,ChIJ-z9plh8KkEcRTKlPYZ3XyrA,47.3700155,8.5183985,3.7,62,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Kehlhofstrasse 2, Zürich",Kehlhofstrasse 2, Zürich
258,Dabo Smoothies,ChIJW-eeB44LkEcR8hTnii7jt8U,47.36966779999999,8.510671799999999,4.9,32,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Birmensdorferstrasse 285, Zürich",Birmensdorferstrasse 285, Zürich
259,Bijou Ramen,ChIJVUY20ikLkEcRGILAt2C3xO8,47.370113,8.5168273,4.6,20,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Bremgartnerstrasse 78, Zürich",Bremgartnerstrasse 78, Zürich
260,Yardbird Southern Fried Chicken,ChIJTZRoshgKkEcRJ2xjPbXw4JA,47.3733929,8.518994,4.5,1528,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Weststrasse 146, Zürich",Weststrasse 146, Zürich
261,Restaurant Schmiedhof,ChIJK3HICB8KkEcR_9J7KP5eFn8,47.370996,8.519585,4.2,69,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Zweierstrasse 136, Zürich",Zweierstrasse 136, Zürich
262,Plüsch,ChIJQ4MBzCEKkEcRzr05Lci8e7E,47.3712981,8.5163383,4.4,465,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Aemtlerstrasse 16, Zürich",Aemtlerstrasse 16, Zürich
263,Hopfenau,ChIJJ6lySPQJkEcRT0YbzxYezDA,47.3651312,8.5200101,4.8,278,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Hopfenstrasse 19, Zürich",Hopfenstrasse 19, Zürich
