,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Price Level,Vicinity
210,Little Thai,ChIJFwIhUCIKkEcR6qQid0SILdY,47.3752421,8.5163199,4.4,52,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Bertastrasse 3, Zürich"
211,Paprika,ChIJvQ1_4y8KkEcRJyZ6OxdYefM,47.3787264,8.5065026,4.6,67,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Brahmsstrasse 22, Zürich"
212,Huusbeiz,ChIJN1HfnSQKkEcRORLDyUnrUfo,47.3774842,8.5125639,4.7,299,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Badenerstrasse 310, Zürich"
213,Coop CremAmore Zürich Letzipark,ChIJyRiXxDQKkEcRg5HVeffRU54,47.38631480000001,8.4993863,3.8,13,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Baslerstrasse 50, Zürich"
214,Grotto Reale,ChIJ67Fq9CMKkEcRI8LvsQaO5ZI,47.37472450000001,8.512694699999999,4.4,240,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Martastrasse 145, Zürich"
215,mit&ohne kebab | restaurant & take away,ChIJMT22CRQLkEcR3xORxgoKIzs,47.3759474,8.5161718,4.7,1102,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Badenerstrasse 248, Zürich"
216,GEBETA Bar & Restaurant,ChIJ1b7tbMQLkEcR81aGW_c0ge0,47.375128,8.517325,4.8,172,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Meinrad-Lienert-Strasse 27, Zürich"
217,Tenz,ChIJ720mASMKkEcR5Yjdik7YaFk,47.3761,8.5155519,4.7,759,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Badenerstrasse 256, Zürich"
218,roots,ChIJM46qPq8LkEcR4fz7gUM0DkE,47.3873329,8.517139499999999,4.5,124,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Maschinenstrasse 8, Zürich"
219,Filfl,ChIJ65ZiZoYLkEcRJD9l6pcHHXA,47.3753268,8.5154023,4.5,227,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Zentralstrasse 136, Zürich"
220,Oval,ChIJb71EzjMKkEcR5idwS4PmBRw,47.3826276,8.501093599999999,3.9,10,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Badenerstrasse 500, Zürich"
221,Flora,ChIJeQYbOrsLkEcRiIG97RpQDT0,47.3785386,8.510137199999999,5.0,4,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Badenerstrasse 354, Zürich"
222,LÉGÈRE Bar & Restaurant,ChIJT5Wo0JILkEcRYaLSXGBRYSY,47.3763962,8.514312,4.8,108,"['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",0,"Badenerstrasse 281, Zürich"
223,K2,ChIJyyaMNz8KkEcRlFksf6xjmCw,47.38648939999999,8.516487699999999,4.3,211,"['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",2,"Zahnradstrasse 22, Zürich"
224,Delicias latinas,ChIJ9SKs_CIKkEcRKyAi1SzPSWs,47.3762175,8.5153825,4.5,242,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Badenerstrasse 260, Zürich"
225,An Chay,ChIJMz_r4pgLkEcRnR5eV6tYcOg,47.3790418,8.5154895,4.6,122,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Zypressenstrasse 94, Zürich"
226,Parea,ChIJP1-tAEQLkEcRkIwNcBmFNcE,47.3759016,8.5141794,4.7,233,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Zentralstrasse 161, Zürich"
227,Thai Choks,ChIJ74Ao6PMLkEcRLu5uyPIuZK4,47.3759508,8.5153012,4.3,11,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Badenerstrasse 263, Zürich"
228,Barranco,ChIJJzyJ4z8LkEcRgeP_DjOW_8Y,47.3792351,8.5157958,4.6,656,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Sihlfeldstrasse 141, Zürich"
229,Zur Goldige Guttere,ChIJY4qKAd8LkEcRrq9EOPB2Vms,47.374524,8.5168547,4.6,89,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Sihlfeldstrasse 45, Zürich"
230,"""Hummus Tel Aviv"" by Fein & Dein Feinkost",ChIJhXtl2KYLkEcRRXSSEXbQzMw,47.3751153,8.5166173,4.5,54,"['restaurant', 'meal_takeaway', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",0,"Sihlfeldstrasse 57, Zürich"
231,Nikos,ChIJueQfDbwLkEcRzP7Ssw_t94M,47.377599,8.498331499999999,4.1,237,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Albisriederstrasse 181, Zürich"
232,HITZBERGER Bahnhof Hardbrücke,ChIJvc4yBT8KkEcR-DTBNnClWJk,47.3852918,8.517350600000002,3.3,29,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Hardbrücke 210, Zürich"
233,Lunchgate AG Reservationssystem & Menümarketing für Restaurants,ChIJVd63vjOnmkcRNSbhUzK1h0Y,47.3757583,8.5155558,4.5,57,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Badenerstrasse 255, Zürich"
234,Sher-E-Punjab,ChIJHw3CQCIKkEcR4aYKXgJKKCM,47.3745883,8.516836,4.1,195,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Sihlfeldstrasse 45, Zürich"
235,LY'S ASIA,ChIJ43K0JD8KkEcR42DjKop8Mno,47.3863408,8.5170236,3.5,620,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Zahnradstrasse 21, Zürich"
236,Restaurant SAHltimbocca,ChIJB2ucOW8KkEcRjF-B0oYG2sI,47.3955232,8.5317042,4.5,80,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Lägernstrasse 37, Zürich"
237,Damas,ChIJfZ_6lmkKkEcR1ZOy7r6cjOQ,47.3933296,8.526319200000001,4.5,293,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Kyburgstrasse 28, Zürich"
238,FreshOrient,ChIJFwBC4mkKkEcRKceUKn__Wlw,47.393395,8.5242263,4.4,86,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Wipkingerweg 2, Zürich"
239,Troja,ChIJTyQIFWkKkEcR5LP97NhaEXU,47.3936676,8.5286489,4.4,129,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Nordstrasse 223, Zürich"
240,Chaima,ChIJp5yuPG8KkEcRjzzUjd86UEE,47.3950967,8.5319054,4.7,112,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Lägernstrasse 32, Zürich"
241,Flying Pizza,ChIJdQ09CGkKkEcRZrlHe3TOrqI,47.3939768,8.5274553,4.2,323,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Nordstrasse 245, Zürich"
242,Taj Palace,ChIJfYsbtWsKkEcRxDSTi3PGeSg,47.39094679999999,8.5264546,3.8,261,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Hönggerstrasse 25, Zürich"
243,Loi - Vegetarian Bistro,ChIJ5fEDVtsLkEcRTQeIkpGhIFk,47.3892432,8.525327299999999,4.9,41,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Limmatstrasse 268/270, Zürich"
244,San Gennaro,ChIJWyFwBOwLkEcRnGcu2aJaGys,47.3915947,8.5250597,4.4,1854,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Hönggerstrasse 43, Zürich"
